,RegionName,StateName,Region,Latitude,Longitude,Date,Rent,Rolling_3_Month_Average_Rent,Pct_Chg_1M_3M_Rolling_Average_Rents,Pct_Chg_12M_3M_Rolling_Average_Rents
0,"New York, NY",NY,Northeast,40.7127281,-74.0060152,2015-01-31,2286.942293292214,2286.942293292214,,
1,"Los Angeles, CA",CA,West,34.0536909,-118.242766,2015-01-31,1822.376921250098,1822.376921250098,,
2,"Chicago, IL",IL,Midwest,41.8755616,-87.6244212,2015-01-31,1385.601819697689,1385.601819697689,,
3,"Dallas, TX",TX,Texas,32.7762719,-96.7968559,2015-01-31,1114.9784594641008,1114.9784594641008,,
4,"Houston, TX",TX,Texas,29.7589382,-95.3676974,2015-01-31,1239.2025349358166,1239.2025349358166,,
5,"Washington, DC",VA,Southeast,38.8950368,-77.0365427,2015-01-31,1717.578935005897,1717.578935005897,,
6,"Philadelphia, PA",PA,Northeast,39.9527237,-75.1635262,2015-01-31,1253.7957322764844,1253.7957322764844,,
7,"Miami, FL",FL,Florida,25.7741728,-80.19362,2015-01-31,1494.05434806903,1494.05434806903,,
8,"Atlanta, GA",GA,Southeast,33.7489924,-84.3902644,2015-01-31,1056.278663796425,1056.278663796425,,
9,"Boston, MA",MA,Northeast,42.3554334,-71.060511,2015-01-31,2053.108181330501,2053.108181330501,,
10,"Phoenix, AZ",AZ,West,33.4484367,-112.074141,2015-01-31,958.2308704287911,958.2308704287911,,
11,"San Francisco, CA",CA,West,37.7790262,-122.419906,2015-01-31,2325.4518559083217,2325.4518559083217,,
12,"Riverside, CA",CA,West,33.9824949,-117.3742389,2015-01-31,1359.3522009398864,1359.3522009398864,,
13,"Detroit, MI",MI,Midwest,42.3315509,-83.0466403,2015-01-31,854.9896064700706,854.9896064700706,,
14,"Seattle, WA",WA,West,47.6038321,-122.330062,2015-01-31,1362.4484467697555,1362.4484467697555,,
15,"Minneapolis, MN",MN,Midwest,44.9772995,-93.2654692,2015-01-31,1162.4878003144845,1162.4878003144845,,
16,"San Diego, CA",CA,West,32.7174202,-117.1627728,2015-01-31,1706.2182840761277,1706.2182840761277,,
17,"Tampa, FL",FL,Florida,27.9477595,-82.458444,2015-01-31,1092.722668614657,1092.722668614657,,
18,"Denver, CO",CO,Mountain,39.7392364,-104.984862,2015-01-31,1284.9749954761778,1284.9749954761778,,
19,"Baltimore, MD",MD,Northeast,39.2908816,-76.610759,2015-01-31,1340.1407131501603,1340.1407131501603,,
